Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
854,854,854,201612150PHO,24.9,4.1,4th quarter,2:23.0,Derrick Jones,PHO,True,2-pointer,1,84-101,'SAS',trails
609,609,609,201702110HOU,24.4,4.3,4th quarter,3:40.0,Derrick Jones,PHO,False,2-pointer,1,92-129,'HOU',trails
610,610,610,201702110HOU,24.4,4.3,4th quarter,3:39.0,Derrick Jones,PHO,True,2-pointer,1,94-129,'HOU',trails
2041,2041,2041,201702150PHO,24.0,3.1,4th quarter,2:43.0,Derrick Jones,PHO,True,2-pointer,0,129-96,'LAL',leads
2042,2042,2042,201702150PHO,24.0,3.1,4th quarter,2:22.0,Derrick Jones,PHO,True,2-pointer,0,131-99,'LAL',leads
2045,2045,2045,201702150PHO,24.0,3.1,4th quarter,1:03.0,Derrick Jones,PHO,True,2-pointer,0,135-99,'LAL',leads
201,201,201,201702240CHI,21.6,3.3,2nd quarter,9:46.0,Derrick Jones,PHO,False,2-pointer,2,29-26,'PHO',leads
202,202,202,201702240CHI,21.6,3.3,2nd quarter,9:45.0,Derrick Jones,PHO,True,2-pointer,2,31-26,'PHO',leads
208,208,208,201702240CHI,24.0,3.1,2nd quarter,7:09.0,Derrick Jones,PHO,True,2-pointer,0,37-32,'PHO',leads
240,240,240,201702240CHI,25.4,4.1,4th quarter,11:37.0,Derrick Jones,PHO,False,2-pointer,2,79-80,'PHO',trails
755,755,755,201702260MIL,24.0,3.1,4th quarter,9:40.0,Derrick Jones,PHO,True,2-pointer,0,77-80,'PHO',trails
560,560,560,201702280MEM,22.0,3.0,2nd quarter,7:17.0,Derrick Jones,PHO,True,2-pointer,2,38-37,'PHO',leads
565,565,565,201702280MEM,24.0,3.1,2nd quarter,4:41.0,Derrick Jones,PHO,True,2-pointer,0,48-40,'PHO',leads
607,607,607,201702280MEM,24.0,3.1,4th quarter,1:43.0,Derrick Jones,PHO,True,2-pointer,0,107-120,'PHO',trails
610,610,610,201702280MEM,24.0,2.9,4th quarter,0:24.0,Derrick Jones,PHO,True,2-pointer,0,112-128,'PHO',trails
277,277,277,201703020PHO,26.2,3.0,1st quarter,1:04.0,Derrick Jones,PHO,True,2-pointer,2,28-32,'PHO',trails
318,318,318,201703020PHO,24.0,3.1,4th quarter,10:48.0,Derrick Jones,PHO,True,2-pointer,0,98-95,'PHO',leads
319,319,319,201703020PHO,22.8,3.7,4th quarter,9:48.0,Derrick Jones,PHO,False,2-pointer,1,100-95,'PHO',leads
322,322,322,201703020PHO,24.0,3.1,4th quarter,7:42.0,Derrick Jones,PHO,True,2-pointer,0,105-97,'PHO',leads
1310,1310,1310,201703030PHO,24.0,3.1,2nd quarter,5:22.0,Derrick Jones,PHO,True,2-pointer,0,42-36,'PHO',leads
1312,1312,1312,201703030PHO,23.6,3.7,2nd quarter,4:05.0,Derrick Jones,PHO,True,2-pointer,1,46-40,'PHO',leads
1346,1346,1346,201703030PHO,24.2,3.3,4th quarter,8:49.0,Derrick Jones,PHO,True,2-pointer,0,97-83,'PHO',leads
457,457,457,201703070PHO,24.0,3.1,2nd quarter,11:19.0,Derrick Jones,PHO,True,2-pointer,0,27-40,'PHO',trails
458,458,458,201703070PHO,24.0,3.1,2nd quarter,10:55.0,Derrick Jones,PHO,True,2-pointer,0,29-41,'PHO',trails
505,505,505,201703070PHO,24.0,3.1,4th quarter,5:53.0,Derrick Jones,PHO,True,2-pointer,0,108-110,'PHO',trails
668,668,668,201703090PHO,24.0,3.1,4th quarter,11:17.0,Derrick Jones,PHO,True,2-pointer,0,83-92,'LAL',trails
675,675,675,201703090PHO,24.0,3.1,4th quarter,8:21.0,Derrick Jones,PHO,True,2-pointer,0,91-102,'LAL',trails
201,201,201,201703110DAL,30.3,17.4,1st quarter,11:35.0,Derrick Jones,PHO,True,2-pointer,15,2-0,'DAL',leads
249,249,249,201703110DAL,22.8,3.7,3rd quarter,5:55.0,Derrick Jones,PHO,False,2-pointer,1,57-58,'DAL',trails
264,264,264,201703110DAL,1.3,3.8,4th quarter,10:38.0,Derrick Jones,PHO,False,3-pointer,22,74-70,'DAL',leads
985,985,985,201703120PHO,24.0,3.1,2nd quarter,6:48.0,Derrick Jones,PHO,True,2-pointer,0,30-39,'POR',trails
1004,1004,1004,201703120PHO,23.1,4.1,3rd quarter,8:25.0,Derrick Jones,PHO,False,2-pointer,1,59-69,'POR',trails
1122,1122,1122,201703170PHO,24.0,3.1,2nd quarter,8:18.0,Derrick Jones,PHO,True,2-pointer,0,32-32,'PHO',tied
1128,1128,1128,201703170PHO,24.9,3.2,2nd quarter,5:30.0,Derrick Jones,PHO,True,2-pointer,0,40-42,'PHO',trails
1133,1133,1133,201703170PHO,22.1,3.7,2nd quarter,4:10.0,Derrick Jones,PHO,True,2-pointer,2,42-49,'PHO',trails
1165,1165,1165,201703170PHO,26.2,2.9,4th quarter,11:25.0,Derrick Jones,PHO,False,2-pointer,2,85-84,'PHO',leads
1166,1166,1166,201703170PHO,24.1,15.4,4th quarter,10:53.0,Derrick Jones,PHO,False,2-pointer,12,85-84,'PHO',leads
1168,1168,1168,201703170PHO,24.2,4.1,4th quarter,10:15.0,Derrick Jones,PHO,False,2-pointer,1,85-86,'PHO',trails
149,149,149,201703190DET,23.3,11.2,1st quarter,11:02.0,Derrick Jones,PHO,False,2-pointer,8,3-3,'DET',tied
173,173,173,201703190DET,21.3,5.1,2nd quarter,11:25.0,Derrick Jones,PHO,False,2-pointer,3,26-24,'DET',leads
179,179,179,201703190DET,22.8,15.9,2nd quarter,8:06.0,Derrick Jones,PHO,False,2-pointer,12,33-28,'DET',leads
190,190,190,201703190DET,22.4,4.3,2nd quarter,2:36.0,Derrick Jones,PHO,True,2-pointer,2,43-42,'DET',leads
196,196,196,201703190DET,24.4,8.1,3rd quarter,11:39.0,Derrick Jones,PHO,False,2-pointer,5,49-47,'DET',leads
199,199,199,201703190DET,23.3,10.2,3rd quarter,10:43.0,Derrick Jones,PHO,False,2-pointer,7,51-50,'DET',leads
202,202,202,201703190DET,25.5,2.4,3rd quarter,9:22.0,Derrick Jones,PHO,False,2-pointer,1,55-50,'DET',leads
204,204,204,201703190DET,25.0,11.7,3rd quarter,8:36.0,Derrick Jones,PHO,False,2-pointer,8,57-52,'DET',leads
220,220,220,201703190DET,39.9,8.7,3rd quarter,0:21.0,Derrick Jones,PHO,False,2-pointer,17,75-75,'DET',tied
544,544,544,201703210MIA,32.6,3.2,2nd quarter,10:33.0,Derrick Jones,PHO,False,2-pointer,8,28-27,'MIA',leads
588,588,588,201703210MIA,23.3,3.7,4th quarter,9:18.0,Derrick Jones,PHO,True,2-pointer,0,74-86,'MIA',trails
591,591,591,201703210MIA,24.0,3.1,4th quarter,7:29.0,Derrick Jones,PHO,True,2-pointer,0,80-91,'MIA',trails
601,601,601,201703210MIA,24.4,4.1,4th quarter,0:07.0,Derrick Jones,PHO,False,2-pointer,1,95-112,'MIA',trails
6,6,6,201703230BRK,23.3,3.3,1st quarter,9:00.0,Derrick Jones,PHO,True,2-pointer,0,9-2,'PHO',leads
15,15,15,201703230BRK,24.2,4.3,1st quarter,4:14.0,Derrick Jones,PHO,False,2-pointer,1,23-13,'PHO',leads
47,47,47,201703230BRK,40.1,2.4,3rd quarter,10:05.0,Derrick Jones,PHO,False,2-pointer,16,52-57,'PHO',trails
53,53,53,201703230BRK,1.3,2.0,3rd quarter,8:18.0,Derrick Jones,PHO,False,3-pointer,22,57-59,'PHO',trails
7,7,7,201703240BOS,24.1,3.7,1st quarter,8:01.0,Derrick Jones,PHO,False,2-pointer,0,2-8,'PHO',trails
24,24,24,201703240BOS,28.6,7.7,2nd quarter,9:04.0,Derrick Jones,PHO,True,2-pointer,6,21-38,'PHO',trails
38,38,38,201703240BOS,24.0,3.1,2nd quarter,0:57.0,Derrick Jones,PHO,True,2-pointer,0,40-64,'PHO',trails
362,362,362,201703260CHO,26.4,2.9,1st quarter,3:15.0,Derrick Jones,PHO,False,2-pointer,2,9-32,'CHO',trails
366,366,366,201703260CHO,25.4,3.8,1st quarter,1:14.0,Derrick Jones,PHO,True,2-pointer,1,16-34,'CHO',trails
0,0,0,201703280ATL,42.2,10.5,1st quarter,11:12.0,Derrick Jones,PHO,False,2-pointer,19,1-2,'PHO',trails
1,1,1,201703280ATL,22.1,9.5,1st quarter,10:50.0,Derrick Jones,PHO,False,2-pointer,6,1-2,'PHO',trails
9,9,9,201703280ATL,28.5,27.4,1st quarter,7:30.0,Derrick Jones,PHO,False,3-pointer,24,6-9,'PHO',trails
14,14,14,201703280ATL,24.2,3.3,1st quarter,5:53.0,Derrick Jones,PHO,True,2-pointer,0,10-11,'PHO',trails
21,21,21,201703280ATL,3.1,9.7,1st quarter,1:33.0,Derrick Jones,PHO,False,2-pointer,21,12-24,'PHO',trails
41,41,41,201703280ATL,41.6,7.1,2nd quarter,4:59.0,Derrick Jones,PHO,True,2-pointer,18,30-39,'PHO',trails
42,42,42,201703280ATL,25.9,11.2,2nd quarter,4:29.0,Derrick Jones,PHO,True,2-pointer,8,32-39,'PHO',trails
49,49,49,201703280ATL,47.3,8.1,2nd quarter,0:51.0,Derrick Jones,PHO,True,3-pointer,23,39-46,'PHO',trails
50,50,50,201703280ATL,25.0,6.3,2nd quarter,0:36.0,Derrick Jones,PHO,False,2-pointer,3,39-46,'PHO',trails
66,66,66,201703280ATL,24.0,3.1,3rd quarter,3:59.0,Derrick Jones,PHO,True,2-pointer,0,61-63,'PHO',trails
93,93,93,201703280ATL,24.0,3.1,4th quarter,1:11.0,Derrick Jones,PHO,True,2-pointer,0,85-92,'PHO',trails
632,632,632,201703300PHO,24.0,3.1,2nd quarter,10:19.0,Derrick Jones,PHO,True,2-pointer,0,41-35,'PHO',leads
636,636,636,201703300PHO,24.6,4.1,2nd quarter,8:55.0,Derrick Jones,PHO,True,2-pointer,1,43-40,'PHO',leads
679,679,679,201703300PHO,26.0,4.3,4th quarter,10:12.0,Derrick Jones,PHO,False,2-pointer,2,95-97,'PHO',trails
680,680,680,201703300PHO,22.9,2.9,4th quarter,10:11.0,Derrick Jones,PHO,True,2-pointer,1,97-97,'PHO',tied
691,691,691,201703300PHO,24.0,3.1,4th quarter,3:03.0,Derrick Jones,PHO,True,2-pointer,0,114-118,'PHO',trails
708,708,708,201704010POR,25.2,4.6,2nd quarter,10:43.0,Derrick Jones,PHO,False,2-pointer,2,23-39,'POR',trails
710,710,710,201704010POR,24.0,3.1,2nd quarter,10:19.0,Derrick Jones,PHO,True,2-pointer,0,25-40,'POR',trails
712,712,712,201704010POR,10.8,17.9,2nd quarter,8:53.0,Derrick Jones,PHO,False,2-pointer,19,25-48,'POR',trails
718,718,718,201704010POR,22.9,4.6,2nd quarter,4:52.0,Derrick Jones,PHO,True,2-pointer,1,40-57,'POR',trails
1615,1615,1615,201704020PHO,24.9,3.0,1st quarter,11:36.0,Derrick Jones,PHO,True,2-pointer,0,2-0,'HOU',leads
1622,1622,1622,201704020PHO,3.1,17.9,1st quarter,7:47.0,Derrick Jones,PHO,False,3-pointer,25,6-8,'HOU',trails
1655,1655,1655,201704020PHO,24.6,3.5,2nd quarter,8:39.0,Derrick Jones,PHO,False,2-pointer,0,30-37,'HOU',trails
1657,1657,1657,201704020PHO,22.4,2.9,2nd quarter,8:11.0,Derrick Jones,PHO,True,2-pointer,1,32-37,'HOU',trails
1670,1670,1670,201704020PHO,24.0,3.1,2nd quarter,2:47.0,Derrick Jones,PHO,True,2-pointer,0,52-50,'HOU',leads
1673,1673,1673,201704020PHO,37.3,15.9,2nd quarter,1:01.0,Derrick Jones,PHO,False,2-pointer,18,54-56,'HOU',trails
1707,1707,1707,201704020PHO,22.9,3.8,4th quarter,3:28.0,Derrick Jones,PHO,True,2-pointer,1,106-111,'HOU',trails
1713,1713,1713,201704020PHO,21.0,3.7,4th quarter,0:07.0,Derrick Jones,PHO,True,2-pointer,3,116-123,'HOU',trails
1126,1126,1126,201704050PHO,16.4,27.4,1st quarter,0:00.0,Derrick Jones,PHO,False,3-pointer,25,18-41,'PHO',trails
1127,1127,1127,201704050PHO,22.3,3.2,2nd quarter,11:45.0,Derrick Jones,PHO,True,2-pointer,1,20-41,'PHO',trails
1130,1130,1130,201704050PHO,25.4,3.3,2nd quarter,10:10.0,Derrick Jones,PHO,False,2-pointer,1,20-41,'PHO',trails
1138,1138,1138,201704050PHO,24.0,3.1,2nd quarter,5:59.0,Derrick Jones,PHO,True,2-pointer,0,34-47,'PHO',trails
1148,1148,1148,201704050PHO,21.5,6.1,2nd quarter,2:04.0,Derrick Jones,PHO,True,2-pointer,3,45-54,'PHO',trails
1164,1164,1164,201704050PHO,24.0,3.1,3rd quarter,7:46.0,Derrick Jones,PHO,True,2-pointer,0,63-71,'PHO',trails
1168,1168,1168,201704050PHO,3.5,17.4,3rd quarter,6:27.0,Derrick Jones,PHO,False,3-pointer,25,63-73,'PHO',trails
1172,1172,1172,201704050PHO,22.1,6.6,3rd quarter,4:42.0,Derrick Jones,PHO,False,2-pointer,4,68-74,'PHO',trails
1162,1162,1162,201704070PHO,24.2,2.9,1st quarter,0:40.0,Derrick Jones,PHO,True,2-pointer,0,30-19,'PHO',leads
1167,1167,1167,201704070PHO,25.5,3.7,2nd quarter,8:08.0,Derrick Jones,PHO,True,2-pointer,1,43-30,'PHO',leads
1175,1175,1175,201704070PHO,23.8,3.7,2nd quarter,2:51.0,Derrick Jones,PHO,True,2-pointer,0,64-43,'PHO',leads
1202,1202,1202,201704070PHO,10.7,6.6,3rd quarter,0:00.0,Derrick Jones,PHO,True,2-pointer,13,95-72,'PHO',leads
964,964,964,201704090PHO,25.0,4.1,1st quarter,1:48.0,Derrick Jones,PHO,True,2-pointer,1,33-28,'DAL',leads
997,997,997,201704090PHO,4.8,11.5,3rd quarter,7:54.0,Derrick Jones,PHO,False,2-pointer,20,78-71,'DAL',leads
1007,1007,1007,201704090PHO,26.4,4.3,3rd quarter,1:43.0,Derrick Jones,PHO,False,2-pointer,2,98-85,'DAL',leads
1010,1010,1010,201704090PHO,17.0,18.4,4th quarter,11:03.0,Derrick Jones,PHO,True,2-pointer,16,106-88,'DAL',leads
1013,1013,1013,201704090PHO,24.0,3.1,4th quarter,9:00.0,Derrick Jones,PHO,True,2-pointer,0,108-89,'DAL',leads
1014,1014,1014,201704090PHO,24.0,3.1,4th quarter,8:23.0,Derrick Jones,PHO,False,2-pointer,0,108-89,'DAL',leads
1015,1015,1015,201704090PHO,22.3,3.4,4th quarter,8:20.0,Derrick Jones,PHO,False,2-pointer,1,108-89,'DAL',leads
1017,1017,1017,201704090PHO,9.0,13.6,4th quarter,6:44.0,Derrick Jones,PHO,False,2-pointer,18,112-93,'DAL',leads
1025,1025,1025,201704090PHO,24.0,6.1,4th quarter,2:30.0,Derrick Jones,PHO,True,2-pointer,3,121-105,'DAL',leads
1026,1026,1026,201704090PHO,27.0,4.8,4th quarter,1:40.0,Derrick Jones,PHO,False,2-pointer,3,121-106,'DAL',leads
1028,1028,1028,201704090PHO,1.7,4.1,4th quarter,0:35.0,Derrick Jones,PHO,True,3-pointer,22,124-108,'DAL',leads
679,679,679,201704110SAC,23.7,4.4,1st quarter,11:29.0,Derrick Jones,PHO,False,2-pointer,1,0-0,'SAC',tied
692,692,692,201704110SAC,17.5,9.1,1st quarter,5:10.0,Derrick Jones,PHO,False,2-pointer,8,11-13,'SAC',trails
693,693,693,201704110SAC,25.1,10.7,1st quarter,4:49.0,Derrick Jones,PHO,False,2-pointer,7,11-15,'SAC',trails
703,703,703,201704110SAC,17.4,26.7,1st quarter,0:59.0,Derrick Jones,PHO,False,3-pointer,25,22-24,'SAC',trails
711,711,711,201704110SAC,24.0,3.1,2nd quarter,9:56.0,Derrick Jones,PHO,True,2-pointer,0,29-30,'SAC',trails
715,715,715,201704110SAC,18.0,27.2,2nd quarter,7:41.0,Derrick Jones,PHO,False,3-pointer,24,31-32,'SAC',trails
730,730,730,201704110SAC,47.0,4.1,2nd quarter,0:24.0,Derrick Jones,PHO,True,3-pointer,23,39-56,'SAC',trails
731,731,731,201704110SAC,31.2,15.6,3rd quarter,11:43.0,Derrick Jones,PHO,True,2-pointer,14,41-58,'SAC',trails
766,766,766,201704110SAC,23.3,13.5,4th quarter,7:39.0,Derrick Jones,PHO,False,2-pointer,10,90-104,'SAC',trails
1231,1231,1231,201710180PHO,41.2,23.0,4th quarter,8:59.0,Derrick Jones,PHO,False,3-pointer,26,58-107,'POR',trails
749,749,749,201710210LAC,47.7,8.0,4th quarter,3:55.0,Derrick Jones,PHO,False,3-pointer,24,85-114,'PHO',trails
1444,1444,1444,201711050SAS,24.0,2.4,4th quarter,5:02.0,Derrick Jones,PHO,True,2-pointer,0,82-106,'SAS',trails
1449,1449,1449,201711050SAS,23.7,3.9,4th quarter,1:03.0,Derrick Jones,PHO,True,2-pointer,0,95-110,'SAS',trails
963,963,963,201801050MIA,34.5,28.3,1st quarter,3:03.0,Derrick Jones,MIA,False,3-pointer,27,18-19,'NYK',trails
974,974,974,201801050MIA,26.5,5.7,2nd quarter,8:13.0,Derrick Jones,MIA,False,2-pointer,3,30-32,'NYK',trails
975,975,975,201801050MIA,24.0,2.4,2nd quarter,8:05.0,Derrick Jones,MIA,True,2-pointer,0,32-32,'NYK',tied
458,458,458,201801070MIA,24.9,9.2,2nd quarter,10:00.0,Derrick Jones,MIA,True,2-pointer,6,31-24,'MIA',leads
459,459,459,201801070MIA,47.0,6.1,2nd quarter,9:30.0,Derrick Jones,MIA,True,3-pointer,23,34-26,'MIA',leads
488,488,488,201801090TOR,14.2,25.9,1st quarter,11:34.0,Derrick Jones,MIA,False,3-pointer,24,0-0,'MIA',tied
522,522,522,201801090TOR,24.0,2.4,2nd quarter,8:37.0,Derrick Jones,MIA,True,2-pointer,0,28-27,'MIA',leads
544,544,544,201801090TOR,24.6,11.4,3rd quarter,11:00.0,Derrick Jones,MIA,False,2-pointer,8,51-41,'MIA',leads
545,545,545,201801090TOR,24.0,2.4,3rd quarter,10:58.0,Derrick Jones,MIA,True,2-pointer,0,53-41,'MIA',leads
557,557,557,201801090TOR,25.4,7.3,3rd quarter,2:33.0,Derrick Jones,MIA,False,2-pointer,4,65-56,'MIA',leads
864,864,864,201801100IND,24.7,14.5,1st quarter,10:35.0,Derrick Jones,MIA,False,2-pointer,11,0-5,'MIA',trails
865,865,865,201801100IND,30.1,3.0,1st quarter,10:32.0,Derrick Jones,MIA,True,2-pointer,6,2-5,'MIA',trails
866,866,866,201801100IND,24.1,3.8,1st quarter,10:12.0,Derrick Jones,MIA,True,2-pointer,0,4-5,'MIA',trails
867,867,867,201801100IND,23.8,3.5,1st quarter,9:54.0,Derrick Jones,MIA,True,2-pointer,0,6-5,'MIA',leads
908,908,908,201801100IND,47.8,5.2,3rd quarter,9:06.0,Derrick Jones,MIA,False,3-pointer,23,63-51,'MIA',leads
928,928,928,201801100IND,17.8,8.5,4th quarter,8:44.0,Derrick Jones,MIA,True,2-pointer,8,92-83,'MIA',leads
1092,1092,1092,201801170MIL,21.0,10.7,2nd quarter,4:06.0,Derrick Jones,MIA,False,2-pointer,8,47-48,'MIA',trails
1099,1099,1099,201801170MIL,47.0,7.7,3rd quarter,11:04.0,Derrick Jones,MIA,False,3-pointer,23,52-57,'MIA',trails
1113,1113,1113,201801170MIL,24.0,2.4,3rd quarter,4:18.0,Derrick Jones,MIA,True,2-pointer,0,69-72,'MIA',trails
1,1,1,201801190BRK,18.3,27.6,1st quarter,11:12.0,Derrick Jones,MIA,False,3-pointer,25,2-2,'MIA',tied
6,6,6,201801190BRK,24.0,2.4,1st quarter,9:41.0,Derrick Jones,MIA,False,2-pointer,0,4-4,'MIA',tied
14,14,14,201801190BRK,23.5,6.6,1st quarter,3:49.0,Derrick Jones,MIA,False,2-pointer,3,12-12,'MIA',tied
42,42,42,201801190BRK,17.8,3.7,3rd quarter,10:08.0,Derrick Jones,MIA,False,2-pointer,6,57-45,'MIA',leads
188,188,188,201801200CHO,4.1,17.3,1st quarter,3:36.0,Derrick Jones,MIA,False,3-pointer,24,24-15,'MIA',leads
215,215,215,201801200CHO,24.0,2.4,2nd quarter,1:44.0,Derrick Jones,MIA,True,2-pointer,0,53-46,'MIA',leads
682,682,682,201801220HOU,25.9,3.9,1st quarter,10:17.0,Derrick Jones,MIA,True,2-pointer,2,8-5,'MIA',leads
687,687,687,201801220HOU,24.5,4.0,1st quarter,7:16.0,Derrick Jones,MIA,True,2-pointer,1,16-9,'MIA',leads
690,690,690,201801220HOU,3.1,17.0,1st quarter,5:49.0,Derrick Jones,MIA,False,3-pointer,25,21-12,'MIA',leads
694,694,694,201801220HOU,22.7,5.9,1st quarter,3:55.0,Derrick Jones,MIA,False,2-pointer,3,26-15,'MIA',leads
719,719,719,201801220HOU,21.5,4.6,2nd quarter,0:33.0,Derrick Jones,MIA,False,2-pointer,2,50-46,'MIA',leads
722,722,722,201801220HOU,23.2,9.8,3rd quarter,11:32.0,Derrick Jones,MIA,True,2-pointer,6,52-46,'MIA',leads
472,472,472,201801250MIA,22.6,4.3,2nd quarter,0:53.0,Derrick Jones,MIA,False,2-pointer,1,47-47,'MIA',tied
474,474,474,201801250MIA,20.1,5.0,3rd quarter,11:08.0,Derrick Jones,MIA,False,2-pointer,4,47-49,'MIA',trails
588,588,588,201802070MIA,26.9,28.2,1st quarter,11:11.0,Derrick Jones,MIA,False,3-pointer,25,2-2,'HOU',tied
594,594,594,201802070MIA,24.8,4.4,1st quarter,8:17.0,Derrick Jones,MIA,False,2-pointer,1,9-11,'HOU',trails
597,597,597,201802070MIA,24.0,2.4,1st quarter,7:13.0,Derrick Jones,MIA,False,2-pointer,0,11-13,'HOU',trails
600,600,600,201802070MIA,47.2,8.2,1st quarter,6:22.0,Derrick Jones,MIA,False,3-pointer,23,13-16,'HOU',trails
602,602,602,201802070MIA,46.6,4.6,1st quarter,5:28.0,Derrick Jones,MIA,True,3-pointer,22,16-18,'HOU',trails
607,607,607,201802070MIA,41.9,20.3,1st quarter,2:53.0,Derrick Jones,MIA,False,3-pointer,24,19-22,'HOU',trails
634,634,634,201802070MIA,46.7,5.6,3rd quarter,11:20.0,Derrick Jones,MIA,False,3-pointer,22,57-61,'HOU',trails
833,833,833,201803050MIA,24.3,4.7,4th quarter,1:53.0,Derrick Jones,MIA,False,2-pointer,1,121-98,'MIA',leads
834,834,834,201803050MIA,24.0,2.4,4th quarter,1:51.0,Derrick Jones,MIA,True,2-pointer,0,123-98,'MIA',leads
835,835,835,201803050MIA,2.4,15.4,4th quarter,1:15.0,Derrick Jones,MIA,False,3-pointer,24,123-101,'MIA',leads
82,82,82,201804040ATL,19.7,15.5,4th quarter,6:37.0,Derrick Jones,MIA,False,2-pointer,13,98-74,'MIA',leads
83,83,83,201804040ATL,47.0,8.1,4th quarter,5:49.0,Derrick Jones,MIA,False,3-pointer,23,98-74,'MIA',leads
87,87,87,201804040ATL,24.0,2.4,4th quarter,3:49.0,Derrick Jones,MIA,True,2-pointer,0,104-74,'MIA',leads
92,92,92,201804040ATL,22.7,11.3,4th quarter,1:12.0,Derrick Jones,MIA,True,2-pointer,8,111-80,'MIA',leads
93,93,93,201804040ATL,17.5,28.0,4th quarter,0:44.0,Derrick Jones,MIA,True,3-pointer,25,114-82,'MIA',leads
871,871,871,201804090MIA,11.8,6.7,4th quarter,0:26.0,Derrick Jones,MIA,False,2-pointer,12,93-115,'MIA',trails
1078,1078,1078,201810170ORL,1.7,7.4,1st quarter,8:02.0,Derrick Jones,MIA,False,3-pointer,23,13-8,'MIA',leads
1080,1080,1080,201810170ORL,39.3,22.8,1st quarter,7:06.0,Derrick Jones,MIA,True,3-pointer,25,16-10,'MIA',leads
1085,1085,1085,201810170ORL,26.8,6.0,1st quarter,4:40.0,Derrick Jones,MIA,False,2-pointer,4,21-12,'MIA',leads
1089,1089,1089,201810170ORL,24.0,2.7,1st quarter,3:26.0,Derrick Jones,MIA,True,2-pointer,1,25-12,'MIA',leads
1117,1117,1117,201810170ORL,21.8,5.2,2nd quarter,2:17.0,Derrick Jones,MIA,False,2-pointer,3,46-45,'MIA',leads
397,397,397,201810180WAS,23.2,4.8,1st quarter,5:34.0,Derrick Jones,MIA,True,2-pointer,2,9-16,'MIA',trails
400,400,400,201810180WAS,23.2,4.9,1st quarter,3:45.0,Derrick Jones,MIA,True,2-pointer,2,15-19,'MIA',trails
413,413,413,201810180WAS,20.0,6.0,2nd quarter,7:35.0,Derrick Jones,MIA,False,2-pointer,5,33-35,'MIA',trails
416,416,416,201810180WAS,21.5,6.2,2nd quarter,6:20.0,Derrick Jones,MIA,True,2-pointer,4,38-37,'MIA',leads
420,420,420,201810180WAS,23.6,7.7,2nd quarter,4:36.0,Derrick Jones,MIA,False,2-pointer,4,44-46,'MIA',trails
421,421,421,201810180WAS,24.0,2.7,2nd quarter,4:32.0,Derrick Jones,MIA,True,2-pointer,1,46-46,'MIA',tied
435,435,435,201810180WAS,7.7,23.8,3rd quarter,10:34.0,Derrick Jones,MIA,True,3-pointer,26,63-62,'MIA',leads
445,445,445,201810180WAS,23.3,11.1,3rd quarter,6:29.0,Derrick Jones,MIA,False,2-pointer,8,74-71,'MIA',leads
467,467,467,201810180WAS,23.7,9.6,4th quarter,7:46.0,Derrick Jones,MIA,False,2-pointer,6,94-97,'MIA',trails
469,469,469,201810180WAS,45.0,19.3,4th quarter,6:59.0,Derrick Jones,MIA,False,3-pointer,26,97-100,'MIA',trails
1008,1008,1008,201810200MIA,0.6,0.0,1st quarter,7:56.0,Derrick Jones,MIA,True,3-pointer,24,15-6,'MIA',leads
1009,1009,1009,201810200MIA,20.1,10.4,1st quarter,7:20.0,Derrick Jones,MIA,False,2-pointer,8,15-9,'MIA',leads
1012,1012,1012,201810200MIA,24.4,3.9,1st quarter,5:54.0,Derrick Jones,MIA,True,2-pointer,1,21-17,'MIA',leads
1014,1014,1014,201810200MIA,25.8,8.3,1st quarter,5:06.0,Derrick Jones,MIA,False,2-pointer,5,21-20,'MIA',leads
1033,1033,1033,201810200MIA,28.8,3.7,2nd quarter,6:27.0,Derrick Jones,MIA,False,2-pointer,5,37-47,'MIA',trails
1035,1035,1035,201810200MIA,1.2,8.5,2nd quarter,5:56.0,Derrick Jones,MIA,False,3-pointer,23,37-47,'MIA',trails
1040,1040,1040,201810200MIA,2.7,17.9,2nd quarter,3:26.0,Derrick Jones,MIA,False,3-pointer,26,46-55,'MIA',trails
1046,1046,1046,201810200MIA,1.3,4.6,3rd quarter,11:28.0,Derrick Jones,MIA,False,3-pointer,23,52-72,'MIA',trails
1048,1048,1048,201810200MIA,22.9,4.1,3rd quarter,9:39.0,Derrick Jones,MIA,True,2-pointer,1,54-74,'MIA',trails
1052,1052,1052,201810200MIA,46.6,6.3,3rd quarter,8:24.0,Derrick Jones,MIA,False,3-pointer,23,54-74,'MIA',trails
1054,1054,1054,201810200MIA,24.9,4.1,3rd quarter,6:33.0,Derrick Jones,MIA,True,2-pointer,1,58-82,'MIA',trails
1058,1058,1058,201810200MIA,32.8,5.3,3rd quarter,3:35.0,Derrick Jones,MIA,True,2-pointer,9,67-86,'MIA',trails
1066,1066,1066,201810200MIA,22.9,4.6,4th quarter,11:28.0,Derrick Jones,MIA,False,2-pointer,2,84-92,'MIA',trails
198,198,198,201810300CHO,23.2,3.2,2nd quarter,7:51.0,Derrick Jones,MIA,True,2-pointer,1,37-43,'MIA',trails
202,202,202,201810300CHO,21.8,16.3,2nd quarter,5:27.0,Derrick Jones,MIA,False,2-pointer,13,37-48,'MIA',trails
